Edital,Vertente,Total de Bolsa
2015,Cultura e Extensão,748
2015,Ensino,483
2015,Pesquisa,1460
2016,Cultura e Extensão,1503
2016,Ensino,535
2016,Pesquisa,2198
2017,Cultura e Extensão,1647
2017,Ensino,502
2017,Pesquisa,2258
2018,Cultura e Extensão,1897
2018,Ensino,1015
2018,Pesquisa,1942
2019,Cultura e Extensão,1652
2019,Ensino,1057
2019,Pesquisa,1422
2020,Cultura e Extensão,1526
2020,Ensino,1090
2020,Pesquisa,1500
2021,Cultura e Extensão,2075
2021,Ensino,1426
2021,Pesquisa,1893
2022,Cultura e Extensão,2767
2022,Ensino,1323
2022,Pesquisa,2826
2023,Cultura e Extensão,1944
2023,Ensino,906
2023,Pesquisa,2174
2024,Cultura e Extensão,1848
2024,Ensino,868
2024,Inclusão e Pertencimento,422
2024,Pesquisa,1827
2025,Cultura e Extensão,1479
2025,Ensino,966
2025,Inclusão e Pertencimento,389
2025,Pesquisa,2259
